team|ROUND(diffAvg, 4)
ANA|10838000.0
ARI|15785000.0
ATL|13914000.0
BAL|15647500.0
BOS|22350000.0
CAL|4810000.0
CHA|16830000.0
CHN|24917500.0
CIN|18848155.0
CLE|9885000.0
COL|19735000.0
DET|27932000.0
FLO|7199000.0
HOU|17891000.0
KCA|12437500.0
LAA|23586000.0
LAN|32874000.0
MIA|6020000.0
MIL|15800000.0
MIN|22750000.0
ML4|5695000.0
MON|7891000.0
NYA|32805000.0
NYN|27235546.0
OAK|10427500.0
PHI|24891000.0
PIT|9891000.0
SDN|14155000.0
SEA|24732000.0
SFN|20692778.0
SLN|19340000.0
TBA|13755000.0
TEX|23860000.0
TOR|18568750.0
WAS|21796357.0
